likes,retweet_count,day,sentiment
155081.0,69659.0,2020-10-15,-1
38812.0,18142.0,2020-10-15,0
27779.0,11883.0,2020-10-15,1
31609.0,15177.0,2020-10-16,-1
58224.0,22165.0,2020-10-16,0
260624.0,40756.0,2020-10-16,1
8756.0,4108.0,2020-10-17,-1
23460.0,9954.0,2020-10-17,0
24604.0,10546.0,2020-10-17,1
10217.0,4910.0,2020-10-18,-1
50618.0,18362.0,2020-10-18,0
17987.0,7750.0,2020-10-18,1
10538.0,4433.0,2020-10-19,-1
18011.0,7239.0,2020-10-19,0
18810.0,7961.0,2020-10-19,1
13322.0,5048.0,2020-10-20,-1
18742.0,7420.0,2020-10-20,0
31825.0,13540.0,2020-10-20,1
33780.0,11919.0,2020-10-21,-1
19577.0,7154.0,2020-10-21,0
43288.0,14173.0,2020-10-21,1
15349.0,5568.0,2020-10-22,-1
33387.0,10235.0,2020-10-22,0
27889.0,9213.0,2020-10-22,1
92448.0,21989.0,2020-10-23,-1
93252.0,28787.0,2020-10-23,0
106790.0,28066.0,2020-10-23,1
12296.0,4051.0,2020-10-24,-1
35362.0,10717.0,2020-10-24,0
89142.0,30562.0,2020-10-24,1
35663.0,12496.0,2020-10-25,-1
34994.0,11747.0,2020-10-25,0
113025.0,40196.0,2020-10-25,1
16111.0,4679.0,2020-10-26,-1
55850.0,14948.0,2020-10-26,0
48495.0,12482.0,2020-10-26,1
7290.0,2690.0,2020-10-27,-1
50558.0,17963.0,2020-10-27,0
104591.0,22270.0,2020-10-27,1
19147.0,5688.0,2020-10-28,-1
43109.0,16509.0,2020-10-28,0
39887.0,15170.0,2020-10-28,1
21305.0,7144.0,2020-10-29,-1
32927.0,12129.0,2020-10-29,0
28661.0,10378.0,2020-10-29,1
12237.0,4236.0,2020-10-30,-1
30215.0,8326.0,2020-10-30,0
46401.0,16581.0,2020-10-30,1
13271.0,4334.0,2020-10-31,-1
22940.0,7974.0,2020-10-31,0
26235.0,8882.0,2020-10-31,1
14671.0,4727.0,2020-11-01,-1
40337.0,11927.0,2020-11-01,0
237278.0,31635.0,2020-11-01,1
16402.0,5165.0,2020-11-02,-1
60385.0,14410.0,2020-11-02,0
207665.0,31026.0,2020-11-02,1
29564.0,7113.0,2020-11-03,-1
160169.0,33175.0,2020-11-03,0
100669.0,25078.0,2020-11-03,1
68134.0,16522.0,2020-11-04,-1
720152.0,115491.0,2020-11-04,0
297821.0,47461.0,2020-11-04,1
31378.0,6523.0,2020-11-05,-1
333657.0,52261.0,2020-11-05,0
152248.0,24721.0,2020-11-05,1
43773.0,8104.0,2020-11-06,-1
434160.0,74798.0,2020-11-06,0
134096.0,24244.0,2020-11-06,1
92479.0,17037.0,2020-11-07,-1
1195075.0,172330.0,2020-11-07,0
465418.0,72894.0,2020-11-07,1
47327.0,8837.0,2020-11-08,-1
498214.0,95626.0,2020-11-08,0
288503.0,36387.0,2020-11-08,1
